REAS,CMAQ,wt,mole
Acetylene,ETHY,26,1
BC,PEC,12.,1
Benzene,BENZ,78,1
Butanes,PAR,58,4
CH4,ECH4,16,1
CO2,CO2,44,0
CO,CO,28,1
Ethane,ETHA,30,1
Ethene,ETH,28,1
Ethylene,ETH,28,1
Formaldehyde,FORM,30,1
Halocarbons,None,1,0
Internal_Alkenes,IOLE,56.1,1
Ketones,KET,72.1,1
N2O,N2O,44,0
NH3,NH3,17,1
NMV,None,58.08,0
NOX,NO2,46,1
OC,POA,220.0,1
Other_Aldehyde,ALDX,58.1,1
Other_Alkanes,PAR,48,4
Other_Aromatics,TOL,92.14,1
Others,PAR,48,4
PM10,CCRS,1.0,1
PM2.5,FCRS,1.0,1
Pentanes,PAR,72.15,5
Propane,PRPA,44.1,1
Propene,OLE,42.1,1
SO2,SO2,64,1
Terminal_Alkenes,OLE,42.1,1
Toluene,TOL,92.14,1
Xylenes,XYL,106.16,1
